id,block,block_header,temple_name,deities,location,nearby_town,district,dynasty,condition,functional_status,accessibility,page_content
210,121,Villiambakkam Temples,Sri Srinivasa Perumal Temple,"Srinivasa Perumal, Sridevi, Bhudevi, Alamelumangai, Vodeyavar, Sri Desikar, Sri Nammalwar, Sri Andal, Sri Vishwaksenaar, Navaneethakrishna, Sri Rama, Chakradhalwar",Villiambakkam village,"Chengalpattu, Kanchipuram",Chengalpattu,,Intact,Functional,"Well-connected by Chengalpattu-Kanchipuram bus route, 1 km from Williampakkam bus stop","Srinivasa Perumal Sri Srinivasa Perumal is presented in a kolam standing with Sridevi Budhevis under Ananda Vimana in this temple with Raja Gopuram and two Praharas.A separate shrine has a temple of Sri Alamelumangai mother.Vodeyavar, Sri Desikar, Sri Nammalwar, Sri Andal Sri Vishwaksenaar, Navaneethakrishna, Sri Rama, Chakradhalwar are seen in deities.Animadha Brahma Utsavam is special here.There are two periods of puja.Temple priest Thiruvaradaraja Pattar-9003400740.Come by Chengalpattu-Kanchipuram bus and get down at Williampakkam village, 1 km.If you come inside you can reach this temple. Sri Thokeeswarar Temple About 900 years old, this temple has been reconstructed and offers a view to the east in the sanctum sanctorum of Eesan Srithokkeeswarar.Ambal Sri Sornambikai shrine is facing south direction.Ambal also has pancha koshta murthas along with shiva koshta.The prakaram has shrines of Lord Ganesha, Murugan, Sandikeswarar, Bhairava, Surya, Chandra and Navagrahas.The temple is seen opposite the Thirtha Pond.A pooja takes place once.Temple Priest  Thrissuresh Gurus- 9942128510, Hours-8508971500"
211,121,Villiambakkam Temples,Sri Thokeeswarar Temple,"Thokeeswarar (Shiva), Sornambikai (Ambal), Ganesha, Murugan, Sandikeswarar, Bhairava, Surya, Chandra, Navagrahas",Villiambakkam village,"Chengalpattu, Kanchipuram",Chengalpattu,,Intact,Functional,"Well-connected, opposite Thirtha Pond in village center","Srinivasa Perumal Sri Srinivasa Perumal is presented in a kolam standing with Sridevi Budhevis under Ananda Vimana in this temple with Raja Gopuram and two Praharas.A separate shrine has a temple of Sri Alamelumangai mother.Vodeyavar, Sri Desikar, Sri Nammalwar, Sri Andal Sri Vishwaksenaar, Navaneethakrishna, Sri Rama, Chakradhalwar are seen in deities.Animadha Brahma Utsavam is special here.There are two periods of puja.Temple priest Thiruvaradaraja Pattar-9003400740.Come by Chengalpattu-Kanchipuram bus and get down at Williampakkam village, 1 km.If you come inside you can reach this temple. Sri Thokeeswarar Temple About 900 years old, this temple has been reconstructed and offers a view to the east in the sanctum sanctorum of Eesan Srithokkeeswarar.Ambal Sri Sornambikai shrine is facing south direction.Ambal also has pancha koshta murthas along with shiva koshta.The prakaram has shrines of Lord Ganesha, Murugan, Sandikeswarar, Bhairava, Surya, Chandra and Navagrahas.The temple is seen opposite the Thirtha Pond.A pooja takes place once.Temple Priest  Thrissuresh Gurus- 9942128510, Hours-8508971500"
212,122,Palur Temples,Sridevi Bhoodevi Sametha Sri Deivanayaka Perumal,"Sridevi, Bhoodevi, Sri Deivanayaka Perumal","Palur/Balur village, 12 km after Chengalpattu on Chengalpattu-Kanchipuram road",Chengalpattu,Kanchipuram,Pallava,Dilapidated,Functional,Well-connected - all Kanchipuram bound buses pass through,"Sridevi Bhoodevi Sametha Sri Deivanayaka Perumal.Standing column.There are only two temples with this name in Tamil Nadu and one in Tirunelveli district.The temple built during the Pallavar period has collapsed and now the Lord resides in a tile shed. Puja is held here only on Saturdays.12 km after Chengalpattu on the Chengalpattu-Kanchipuram road.Balur village is located far away.All Kanchipuram bound buses pass through this place.Contact Mr Murugan-98429 09725, Mr Balasubramanian-9791432068, Mr Babu=9042900317. Sri Pathankiswarar Temple Swami Sri Pathankiswarar, Ambal Sri Prabarambikai is the master of the water pipe. A large stone temple with two praharas.Both the shrines of Swami Ambal are facing east.There are pancha murtis in the lord koshta, vinayagar, murugan, sandikeswar, bhairava sun in the prakara and four shrines in the mahamandapam.It is called Bhaskara Kshetra as it was originally worshiped by Sri Surya.The theertha here is called Surya Pushkarani.Temple Archakar Thiru Ekambara Gurus-044 27437011 Temple Walk Opening Hours 8am-12pm 4-7pm.All the Shivalaya Utsavams are held here."
213,122,Palur Temples,Sri Pathankiswarar Temple,"Swami Sri Pathankiswarar, Ambal Sri Prabarambikai","Palur/Balur village, 12 km after Chengalpattu on Chengalpattu-Kanchipuram road",Chengalpattu,Kanchipuram,,Intact,Functional,Well-connected - all Kanchipuram bound buses pass through,"Sridevi Bhoodevi Sametha Sri Deivanayaka Perumal.Standing column.There are only two temples with this name in Tamil Nadu and one in Tirunelveli district.The temple built during the Pallavar period has collapsed and now the Lord resides in a tile shed. Puja is held here only on Saturdays.12 km after Chengalpattu on the Chengalpattu-Kanchipuram road.Balur village is located far away.All Kanchipuram bound buses pass through this place.Contact Mr Murugan-98429 09725, Mr Balasubramanian-9791432068, Mr Babu=9042900317. Sri Pathankiswarar Temple Swami Sri Pathankiswarar, Ambal Sri Prabarambikai is the master of the water pipe. A large stone temple with two praharas.Both the shrines of Swami Ambal are facing east.There are pancha murtis in the lord koshta, vinayagar, murugan, sandikeswar, bhairava sun in the prakara and four shrines in the mahamandapam.It is called Bhaskara Kshetra as it was originally worshiped by Sri Surya.The theertha here is called Surya Pushkarani.Temple Archakar Thiru Ekambara Gurus-044 27437011 Temple Walk Opening Hours 8am-12pm 4-7pm.All the Shivalaya Utsavams are held here."
214,123,Vadakkupattu Temples,Somasundereswarar Temple,"Shiva Sri Somasundareswarar, Ambal Sri Tripurasundari, Vinayagar, Valli Devasena with Murugan, Rama, Ayyappan, Swarna Akarshana Bhairava, Navagragam with Vahanams, Surya, Swami, Ambal Goshta","Vadakkupattu, 6 km from Oragada","Oragada, Chengalpattu",Chengalpattu,,,Functional,"Well-connected (Chengalpattu-Wadakupattu Bus route Tee 10, auto available from Oragada)","Somasundereswarar Temple Shiva Sri Somasundareswarar Ambal Sri Tripurasundari shrines Vinayagar in prakaram, Valli Devasena with deities Murugan, Rama.Ayyappan, Swarna Akarshana Bhairava, Navagragam with Vahanams, Surya, and Swami, Ambal Goshta sanctuaries are featured separately.There is a temple shrine.Puja is held twice.Temple priest Mr. 9597953775. location 6 km from Oragada.Auto is available from here.Chengalpattu-Wadakupattu Bus (Tee 10). Sri Sundara Varadaraja Perumal Temple Moolavar Sri Sundara Varadaraja is seen in the golam standing with Sridevi Bhudevi.Mother Sri Sundaravalli has a separate temple. Other shrines Sri Sadakopar, Sri Ramanujar, Sri Andal, Sri Chakradhalwar Sri Nardhana Krishna, Vishwaksena.There is Pushkarani. There are two periods of puja.Temple Priest Mr. Veeraragavan-9444795186 Contact Mr. Raghunath-9884070230, Mr. Sourirajan-9884576575. A child is a boon If you visit Sri Sundara Varadaraja Perumal and Sri Sundaravalli Thayar for 48 days and bring kunguma prasad to get child and get rid of marriage ban, the prayer will be fulfilled."
215,123,Vadakkupattu Temples,Sri Sundara Varadaraja Perumal Temple,"Moolavar Sri Sundara Varadaraja with Sridevi Bhudevi, Sri Sundaravalli Thayar, Sri Sadakopar, Sri Ramanujar, Sri Andal, Sri Chakradhalwar, Sri Nardhana Krishna, Vishwaksena","Vadakkupattu, near Somasundereswarar Temple","Oragada, Chengalpattu",Chengalpattu,,,Functional,"Well-connected (same area as Somasundereswarar Temple, accessible via Chengalpattu-Wadakupattu Bus)","Somasundereswarar Temple Shiva Sri Somasundareswarar Ambal Sri Tripurasundari shrines Vinayagar in prakaram, Valli Devasena with deities Murugan, Rama.Ayyappan, Swarna Akarshana Bhairava, Navagragam with Vahanams, Surya, and Swami, Ambal Goshta sanctuaries are featured separately.There is a temple shrine.Puja is held twice.Temple priest Mr. 9597953775. location 6 km from Oragada.Auto is available from here.Chengalpattu-Wadakupattu Bus (Tee 10). Sri Sundara Varadaraja Perumal Temple Moolavar Sri Sundara Varadaraja is seen in the golam standing with Sridevi Bhudevi.Mother Sri Sundaravalli has a separate temple. Other shrines Sri Sadakopar, Sri Ramanujar, Sri Andal, Sri Chakradhalwar Sri Nardhana Krishna, Vishwaksena.There is Pushkarani. There are two periods of puja.Temple Priest Mr. Veeraragavan-9444795186 Contact Mr. Raghunath-9884070230, Mr. Sourirajan-9884576575. A child is a boon If you visit Sri Sundara Varadaraja Perumal and Sri Sundaravalli Thayar for 48 days and bring kunguma prasad to get child and get rid of marriage ban, the prayer will be fulfilled."
216,124,Venkatamangalam Temples,Sri Amrithakateswarar Temple,"Amrithakateswarar (Shiva), Dwara Ganapati, Balamurugan, Dakshinamurthy, Sandikeswarar, Bhairava",Venkatamangalam village,"Vandaloo (10 km), Selaiyur (7 km)",,,Intact,Functional,"Buses from Tambaram (routes 55C, 51)","About 10 km from Vandaloo.There are three temples in Venkatamangalam village located far away.7 km from Selaiyur.You can reach this city by traveling.Now a small temple is built outside where all three Shiva Lingams are cut and worships are held.Sri Amrithakateswarar presents the scene on the square pedestal.There are shrines of Dwara Ganapati, Balamurugan, Dakshinamurthy, Sandikeswar and Bhairava.A jeeva samadhi is observed in the Prakara. For further contact, Mr. Periyakaruppan-9940339006, Mr. Ravi-7358739759., Thiruvenkata Perumal Temple Sri Thiruvenkata Perumal performs as Sridevi Bhoodevi Samethar in the newly constructed temple.Standing column.Mother Thiruvenkata Lakshmi.Andal and Anjaneyar shrines are in the Maha Mandapam  Temple Thirukulam Ksheerapti Pushkarani.. two work pujas are held.The main plant is the banyan tree.Contact Mr. Nagasubramanian- 9444276186, Mr. Varadaraja Bhatter-9677237556.Buses Thambaram- Venkatamangalam (55 C) D. ((51"
217,124,Venkatamangalam Temples,Thiruvenkata Perumal Temple,"Thiruvenkata Perumal with Sridevi and Bhoodevi, Thiruvenkata Lakshmi, Andal, Anjaneyar",Venkatamangalam village,"Vandaloo (10 km), Selaiyur (7 km)",,,Intact,Functional,"Buses from Tambaram (routes 55C, 51)","About 10 km from Vandaloo.There are three temples in Venkatamangalam village located far away.7 km from Selaiyur.You can reach this city by traveling.Now a small temple is built outside where all three Shiva Lingams are cut and worships are held.Sri Amrithakateswarar presents the scene on the square pedestal.There are shrines of Dwara Ganapati, Balamurugan, Dakshinamurthy, Sandikeswar and Bhairava.A jeeva samadhi is observed in the Prakara. For further contact, Mr. Periyakaruppan-9940339006, Mr. Ravi-7358739759., Thiruvenkata Perumal Temple Sri Thiruvenkata Perumal performs as Sridevi Bhoodevi Samethar in the newly constructed temple.Standing column.Mother Thiruvenkata Lakshmi.Andal and Anjaneyar shrines are in the Maha Mandapam  Temple Thirukulam Ksheerapti Pushkarani.. two work pujas are held.The main plant is the banyan tree.Contact Mr. Nagasubramanian- 9444276186, Mr. Varadaraja Bhatter-9677237556.Buses Thambaram- Venkatamangalam (55 C) D. ((51"
218,125,Karanai Puduchery Temple,Sri Karaneeswarar Temple,"Karaneeswarar (Shiva), Nandi, Ganesha, Jeshta Devi",Karanai Puducherry village,Kuduvancheri,,,Dilapidated,Functional,Remote,"Sri Karaneeswarar Temple It is about 5 km from Kuduvancheri.The temple is located in a distant village called Karanai Puducherry.Villagers are currently worshiping the Lord who was outside the cut by constructing a small shed.According to a preacher who visited this town, Nandi Devar has been consecrated towards the town.For further contact Mr Govindarajan-9710353901 Ganesha, Jeshta Devi and Nandi idols are found under a tree near the temple.."
219,126,Urapakkam Temple,Oorpakkam Sri Uraneeswarar Temple,"Uraneeswarar (Shiva), Poornambikai (Ambal), Naga","Oorpakkam (Urapakkam), GST Road",Kanchipuram,Kanchipuram,Pallava,Dilapidated,Functional,Well-connected,"Oorpakkam Sri Uraneeswarar Temple The big temple built during the Pallavar period was completely destroyed and only Swami had a temple under a tamarind tree.Kanchi is currently emerging as a stone temple as ordered by Srimaka Swami.All shrines are taking place.Ambal Namamsree Poornambikai.Oorpakkam is located at prime location on GST Road.According to Sri Paramacharya, Swami is facing north direction.Contact Mr. Uttrapati-8056171993, Mr. Mani Gurukul-8608178899.Considered as a place of worship of Naga."
220,127,Kannivakkam Temple,Kannivakkam Temple,"Shiva Sri Chandramouleswarar, Ambal Sri Soundaryanayaki, Dwara Ganapati, Valli Devasena Sametha Murugan, three Devata Murthys in Siva Koshta, three Goddesses in Ambal Koshta",Kannivakkam village,"Kuduvancheri, Kottamedu",,,Intact,Functional,"Well-connected via Kuduvancheri-Kottamedu road, bus route 55555 available","Shiva Sri Chandramouleswarar Ambal Sri Soundaryanayaki Location Kannivakkam village The route is on Kuduvancheri-Kottamedu road.Before Bus 55555 Shivalingam was taken under the royal tree and a new temple was built and worships are going on.Dwara Ganapati, Valli Devasena Sametha Murugan Siva Koshta has three Devata Murthys and Ambal Koshta has three Goddesses.For further contact Mr. Umapati-9941467278, Mr. Rajasekaran-9941936838."
221,128,Pandur Temple,Pandur Temple,"Sri Kailasanathar, Sri Vandarkuzali",Pandur village,Kuduvancheri,,,,Functional,"Accessible by bus from Guduvancheri-Tiruporur, Sembakkam","Shiva                              Sri Kailasanathar - North Ambal Sri Vandarkuzali - Northward Worships are being conducted from the outside in the sheet shed.Opposite is the pond.This temple is located 8 km from Kuduvancheri.Pandur village in the distance.This place can be reached by buses going to Guduvanchery-Tiruporur, Sembakkam.Contact Mr. Yuvraj-9841939444, Mr. Thanasekar-9710082341, Mr. Babu-9500174491."
222,129,Melkalvai Sivan Temple,Melkalvai Sivan Temple,"Swami Shri Manjunathar, Ambal Shri Manjarkuzali, Swami and Nandi Deva in Keerut Kottakai, Thala vrutsham Nagalingam",From Karumbakkam on the Melesvai village-Kudovancheri-Kottamedu road,Karumbakkam,,,Dilapidated,Non-Functional,Accessible by road from Karumbakkam,"Swami Shri Manjunathar Ambal Shri Manjarkuzali Location: You have to go from Karumbakkam on the Melesvai village-Kudovancheri-Kottamedu road. Contact Mr. Mohan-7299872928, Mr. Kumar-9710119216 Mr. Jagadevan-9941894091 The temple is currently under construction.Swami and Nandi Deva in Keerut Kottakai.Thala vrutsham Nagalingam. ."
223,130,Othivakkam Sri Othiswarar Temple,Othivakkam Sri Othiswarar Temple,"Shiva (Otheeswarar/Virupatseeswarar), Ambal (Thayalanaiki), Vinayaka, Subramaniya, Veerabhatra, Bhairava, Navagragam, Chandikeshwar, Nataraja, Sivakami","Odhivakkam village, on the way to Kuduvancheri-Kumizhi",Kuduvancheri/Kumizhi,,,Intact,Functional,"Well-connected (contact available, located on main road)","In ancient times, the temple was named Sri Thayalanaiki Sametha Virupatseeswarar, but now it is presented with the name Sri Otheeswarar.The inscriptions show that the temple is about 1700 years old, the place where Rahu and Indra performed the puja.Swami shrine facing east and Ambal shrine facing south.Shiva Goshta has pancha murtis and Ambal has goshta deities.Other shrines are Vinayaka, Subramaniya, Veerabhatra, Bhairava, Navagragam and Chandikeshwar.Nataraja and Sivakami made of stone are present in this temple.The royal tree, the banyan tree and the palm tree are considered here together as the main tree.It is believed that the Siddhas still worship here daily in the form of a white dragon.Even today you can see the sun's rays falling on Swami here every day.When you anoint the Swami with cow milk, you can see that the pot is showing a blue color.Rahu and Ketu are considered to be remedial for removing doshas.If you come here and pray to the Lord to find the missing object, you will get benefit. This temple is located in Odhivakkam village.On the way to Kuduvancheri-Kumizhi.Contact Mr. Parthasarathy-9710539246 A Shiva lingam is seen outside cut into the forest in this town. Shiv Lingam outside cut"
